task,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,mitypeTitle,mitypeType,mitypeNumber,vriType,result_doc_type,result_docnum,mitypeURL
"Манометры, поверенные в ЦАГИ",1173224226,01-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224227,02-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224228,03-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224229,04-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224230,05-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224231,06-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224232,07-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224233,08-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224234,09-К,,,,ФГУП ...,Маном...,P1454,55372-13,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/367941
"Манометры, поверенные в ЦАГИ",1173224235,220396,,,,ФГУП ...,Маном...,ОБМ1-...,1784-63,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/318216
"Манометры, поверенные в ЦАГИ",1173224239,50482,,,,ФГУП ...,Маном...,АМУ-1...,3772-73,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/347326
"Манометры, поверенные в ЦАГИ",1173224240,50513,,,,ФГУП ...,Маном...,АМУ-1...,3772-73,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/347326
"Манометры, поверенные в ЦАГИ",1173224243,1975688,,,,ФГУП ...,Маном...,МТП-1...,3255-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",1173224244,50647,,,,ФГУП ...,Маном...,"МТИ, ВТИ",1844-63,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/319374
"Манометры, поверенные в ЦАГИ",1173224245,88310,,,,ФГУП ...,Маном...,ЭКМ-1...,4041-74,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",1173224246,237719,,,,ФГУП ...,Маном...,ЭКМ-1...,4041-74,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/350545
"Манометры, поверенные в ЦАГИ",1173224247,30,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224248,1,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224249,131,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224250,27,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224251,32,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224252,10,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224253,419,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224254,295,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224255,83,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224256,1-829,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224257,34,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224258,20,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224259,25,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224260,223,,,,ФГУП ...,Маном...,МТ,3383-72,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/342541
"Манометры, поверенные в ЦАГИ",1173224268,К-04-В-I,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224269,К-04-...,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224270,К-01,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224271,01-Т,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224272,03-Т,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224273,К-02,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224274,К-03,,,,ФГУП ...,Маном...,"ТМ, Т...",25913-03,Без статуса,Извещение о непригодности,нет д...,https://fgis.gost.ru/fundmetrology/registry/4/items/331772
"Манометры, поверенные в ЦАГИ",1173224399,54577,,,,ФГУП ...,Маном...,"МТИ, ВТИ",1844-63,Без статуса,Извещение о непригодности,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374
